Training on train env ...
Epoch: [1][152/200]	Time 14.314 (11.242)	Loss 9.1996 (12.4316)	
Epoch: [1][153/200]	Time 13.608 (11.258)	Loss 8.8507 (12.4082)	
Epoch: [1][154/200]	Time 13.138 (11.270)	Loss 9.9517 (12.3922)	
Epoch: [1][155/200]	Time 12.463 (11.278)	Loss 10.8901 (12.3825)	
Epoch: [1][156/200]	Time 12.978 (11.288)	Loss 9.8757 (12.3665)	
Epoch: [1][157/200]	Time 12.541 (11.296)	Loss 9.7970 (12.3501)	
Epoch: [1][158/200]	Time 11.538 (11.298)	Loss 8.7112 (12.3271)	
Epoch: [1][159/200]	Time 12.927 (11.308)	Loss 10.0510 (12.3128)	
Epoch: [1][160/200]	Time 11.829 (11.311)	Loss 8.1039 (12.2865)	
Epoch: [1][161/200]	Time 12.443 (11.319)	Loss 10.2245 (12.2736)	
Epoch: [1][162/200]	Time 11.866 (11.322)	Loss 11.2714 (12.2675)	
Epoch: [1][163/200]	Time 11.639 (11.324)	Loss 8.0997 (12.2419)	
Epoch: [1][164/200]	Time 11.030 (11.322)	Loss 8.5444 (12.2193)	
Epoch: [1][165/200]	Time 11.318 (11.322)	Loss 9.5433 (12.2031)	
Epoch: [1][166/200]	Time 11.459 (11.323)	Loss 11.9288 (12.2015)	
Epoch: [1][167/200]	Time 16.972 (11.357)	Loss 9.4983 (12.1853)	
Epoch: [1][168/200]	Time 13.884 (11.372)	Loss 9.3961 (12.1687)	
Epoch: [1][169/200]	Time 14.266 (11.389)	Loss 9.0168 (12.1500)	
Epoch: [1][170/200]	Time 12.968 (11.398)	Loss 9.0214 (12.1316)	
Epoch: [1][171/200]	Time 13.564 (11.411)	Loss 9.7954 (12.1180)	
Epoch: [1][172/200]	Time 13.138 (11.421)	Loss 13.3014 (12.1249)	
Epoch: [1][173/200]	Time 12.441 (11.427)	Loss 8.9872 (12.1067)	
Epoch: [1][174/200]	Time 12.270 (11.432)	Loss 9.4047 (12.0912)	
Epoch: [1][175/200]	Time 11.865 (11.434)	Loss 7.9857 (12.0677)	
Epoch: [1][176/200]	Time 10.364 (11.428)	Loss 8.8541 (12.0495)	
Epoch: [1][177/200]	Time 10.784 (11.424)	Loss 11.4594 (12.0461)	
Epoch: [1][178/200]	Time 11.039 (11.422)	Loss 9.8705 (12.0339)	
Epoch: [1][179/200]	Time 11.067 (11.420)	Loss 10.5181 (12.0254)	
Epoch: [1][180/200]	Time 12.402 (11.426)	Loss 9.8948 (12.0136)	
Epoch: [1][181/200]	Time 11.344 (11.425)	Loss 8.7794 (11.9957)	
Epoch: [1][182/200]	Time 11.868 (11.428)	Loss 10.6414 (11.9883)	
Epoch: [1][183/200]	Time 11.981 (11.431)	Loss 10.3671 (11.9794)	
Epoch: [1][184/200]	Time 11.107 (11.429)	Loss 9.5748 (11.9664)	
Epoch: [1][185/200]	Time 10.514 (11.424)	Loss 8.1906 (11.9460)	
