Evaluating on val_seen env ...
Epoch: [0][193/256]	Time 1.582 (1.291)	Loss 8.1442 (7.8264)	
Epoch: [0][194/256]	Time 1.779 (1.294)	Loss 11.9225 (7.8475)	
Epoch: [0][195/256]	Time 1.172 (1.293)	Loss 5.8337 (7.8372)	
Epoch: [0][196/256]	Time 1.472 (1.294)	Loss 9.8767 (7.8476)	
Epoch: [0][197/256]	Time 0.609 (1.291)	Loss 3.7912 (7.8270)	
Epoch: [0][198/256]	Time 0.700 (1.288)	Loss 3.8612 (7.8070)	
Epoch: [0][199/256]	Time 1.055 (1.286)	Loss 6.9042 (7.8024)	
Epoch: [0][200/256]	Time 1.012 (1.285)	Loss 5.4357 (7.7906)	
Epoch: [0][201/256]	Time 0.338 (1.280)	Loss 2.3675 (7.7636)	
Epoch: [0][202/256]	Time 1.565 (1.282)	Loss 9.3779 (7.7716)	
Epoch: [0][203/256]	Time 0.309 (1.277)	Loss 2.1515 (7.7439)	
Epoch: [0][204/256]	Time 1.538 (1.278)	Loss 11.6014 (7.7628)	
Epoch: [0][205/256]	Time 0.534 (1.275)	Loss 2.8672 (7.7389)	
Epoch: [0][206/256]	Time 1.548 (1.276)	Loss 8.3009 (7.7417)	
Epoch: [0][207/256]	Time 0.805 (1.274)	Loss 4.4900 (7.7260)	
Epoch: [0][208/256]	Time 1.657 (1.275)	Loss 11.2273 (7.7428)	
Epoch: [0][209/256]	Time 0.667 (1.273)	Loss 3.8848 (7.7243)	
Epoch: [0][210/256]	Time 1.457 (1.273)	Loss 5.7053 (7.7147)	
Epoch: [0][211/256]	Time 1.526 (1.275)	Loss 7.5848 (7.7141)	
Epoch: [0][212/256]	Time 0.948 (1.273)	Loss 6.9707 (7.7106)	
Epoch: [0][213/256]	Time 1.493 (1.274)	Loss 8.6097 (7.7148)	
Epoch: [0][214/256]	Time 1.493 (1.275)	Loss 12.8103 (7.7386)	
Epoch: [0][215/256]	Time 0.518 (1.272)	Loss 3.4761 (7.7188)	
Epoch: [0][216/256]	Time 1.496 (1.273)	Loss 8.7510 (7.7236)	
Epoch: [0][217/256]	Time 1.098 (1.272)	Loss 5.3017 (7.7124)	
Epoch: [0][218/256]	Time 1.335 (1.272)	Loss 7.5550 (7.7117)	
Epoch: [0][219/256]	Time 1.458 (1.273)	Loss 11.1547 (7.7274)	
Epoch: [0][220/256]	Time 1.601 (1.274)	Loss 10.3723 (7.7394)	
Epoch: [0][221/256]	Time 0.510 (1.271)	Loss 2.5029 (7.7157)	
Epoch: [0][222/256]	Time 1.568 (1.272)	Loss 9.1818 (7.7224)	
Epoch: [0][223/256]	Time 1.666 (1.274)	Loss 9.2398 (7.7292)	
